"Date","Close","Change","Dir","Lag1","Lag2","Lag3","Lag4","Lag5"
2022-01-07,41557.902344,-1603.02734399999,"dec",-408.074218000002,-2328.570313,-560.542968999995,-887.101562000003,-341.59375
2022-01-08,41733.941406,176.039061999996,"inc",-1603.02734399999,-408.074218000002,-2328.570313,-560.542968999995,-887.101562000003
2022-01-09,41911.601563,177.660156999998,"inc",176.039061999996,-1603.02734399999,-408.074218000002,-2328.570313,-560.542968999995
2022-01-10,41821.261719,-90.3398439999946,"dec",177.660156999998,176.039061999996,-1603.02734399999,-408.074218000002,-2328.570313
2022-01-11,42735.855469,914.59375,"inc",-90.3398439999946,177.660156999998,176.039061999996,-1603.02734399999,-408.074218000002
2022-01-12,43949.101563,1213.24609399999,"inc",914.59375,-90.3398439999946,177.660156999998,176.039061999996,-1603.02734399999
2022-01-13,42591.570313,-1357.53125,"dec",1213.24609399999,914.59375,-90.3398439999946,177.660156999998,176.039061999996
2022-01-14,43099.699219,508.128906000005,"inc",-1357.53125,1213.24609399999,914.59375,-90.3398439999946,177.660156999998
2022-01-15,43177.398438,77.6992189999946,"inc",508.128906000005,-1357.53125,1213.24609399999,914.59375,-90.3398439999946
2022-01-16,43113.878906,-63.5195319999984,"dec",77.6992189999946,508.128906000005,-1357.53125,1213.24609399999,914.59375
2022-01-17,42250.550781,-863.328125,"dec",-63.5195319999984,77.6992189999946,508.128906000005,-1357.53125,1213.24609399999
2022-01-18,42375.632813,125.082031999998,"inc",-863.328125,-63.5195319999984,77.6992189999946,508.128906000005,-1357.53125
2022-01-19,41744.328125,-631.304687999997,"dec",125.082031999998,-863.328125,-63.5195319999984,77.6992189999946,508.128906000005
2022-01-20,40680.417969,-1063.910156,"dec",-631.304687999997,125.082031999998,-863.328125,-63.5195319999984,77.6992189999946
2022-01-21,36457.316406,-4223.101563,"dec",-1063.910156,-631.304687999997,125.082031999998,-863.328125,-63.5195319999984
2022-01-22,35030.25,-1427.066406,"dec",-4223.101563,-1063.910156,-631.304687999997,125.082031999998,-863.328125
2022-01-23,36276.804688,1246.554688,"inc",-1427.066406,-4223.101563,-1063.910156,-631.304687999997,125.082031999998
2022-01-24,36654.328125,377.523437000003,"inc",1246.554688,-1427.066406,-4223.101563,-1063.910156,-631.304687999997
