# The World Bank's Databank
# Data from database: Education Statistics - All Indicators
# Source: https://databank.worldbank.org/home.aspx
# Last Updated: 04/21/2020
#
# A "wide" version of `edstats_2019.csv` (the most recent indicators).
"CountryName","HD.HCI.AMRT","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.EYRS","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.HLOS","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.MORT","HD.HCI.MORT.FE","HD.HCI.MORT.MA","HD.HCI.OVRL","HD.HCI.OVRL.FE","HD.HCI.OVRL.MA","IT.CMP.PCMP.P2","IT.NET.USER.P2","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","NY.GDP.MKTP.CD","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GNP.PCAP.CD","NY.GNP.PCAP.PP.CD","SE.COM.DURS","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SE.PRM.CMPT.ZS","SE.PRM.ENRL.TC.ZS","SE.PRM.ENRR","SE.PRM.ENRR.FE","SE.PRM.ENRR.MA","SE.PRM.NENR","SE.PRM.NENR.FE","SE.PRM.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.ENRL.TC.ZS","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.SEC.NENR","SE.SEC.NENR.MA","SE.SEC.PRIV.ZS","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","SE.TER.PRIV.ZS","SE.XPD.TOTL.GD.ZS","SL.TLF.ADVN.FE.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.ZS","SP.POP.TOTL","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.MA.IN","UIS.PTRHC.56","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","UIS.X.PPP.1.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.1.FSGOV","UIS.X.US.2T3.FSGOV","UIS.X.US.5T8.FSGOV","UIS.XGDP.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.XGDP.56.FSGOV","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.US.5T8.FSGOV.FFNTR"
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0826258,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871203164.08274,4884.74242133376,8648.08879957291,4470,7810,8,104.11765,104.81835,104.47448,19.78332,111.69688,108.73155,114.55032,95.94237,94.99419,96.47629,92.78032,16.72317,85.37246,87.11591,83.65849,71.149,68.98259,70.35165,24.65664,30.48455,18.81743,44.30769,7.37876,78.7593002319336,87.4740982055664,82.7901992797852,390000,196000,194000,22394,45604,23210,23270,47046,23776,13.94231,60959,29933,31026,71.5539,91.10146,21.59677,41.83299,53.26121,12.62625,2.31551,2.94807,0.69888,16.55987,27.31837,27.31742,1389.07236,2291.51472,2291.43473,812.1019,1339.70231,1339.65554
"Benin",0.7627,0.7858,0.7393,9.32,8.85,9.78,384,384,384,0.9017,0.9074,0.8963,0.406,0.403,0.408,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10354274634.9108,901.543871206357,2424.75584480555,870,2410,6,76.0318,85.33373,80.74556,39.19712,121.95825,117.95891,125.84506,97.21103,NA,NA,25.34746,10.99168,59.04252,50.73183,67.14241,46.58049,53.18202,15.64533,12.27414,7.46639,16.9937,26.55693,4.03814,56.0946006774902,69.8760986328125,66.1744995117188,11801000,5910000,5891000,920984,1868668,947684,896737,1816916,920179,29.48773,1823547,898763,924784,487.02296,232.0805,216.57016,179.90841,85.73155,80.00196,2.16988,1.03401,0.96491,9.15575,10.83762,72.97773,194.30658,229.99987,1548.75945,71.7777,84.96295,572.11849
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,5573710000,85748.0654143782,52547.3330901036,106140,66810,13,97.51381,98.93333,91.57303,10.4196,101.14634,100.19871,102.06037,92.71386,90.61033,94.744,37.66578,6.33229,76.95238,81.4513,72.61504,72.76762,67.61204,43.36634,19.02726,22.90533,15.28361,0,1.50039,NA,NA,NA,63973,NA,NA,1825,3716,1891,2410,4913,2503,14.53061,8812,4322,4490,18.22989,26.99676,11.10352,29.56363,42.67715,18.119,0.4825,0.66609,0.25484,8.05056,11.92934,23.92178,4446.31539,6595.83756,10021.22501,7128.91922,10563.65,16352.88809
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.10641588,NA,NA,NA,NA,NA,NA,NA,NA,NA,2446674101.3737,3243.23112508014,10167.934056686,2970,9250,NA,104.40112,95.71901,100,34.66868,100.13968,100.22383,100.05804,88.02597,88.54243,87.52499,4.23241,10.81456,90.09468,95.71011,84.70749,70.19893,64.10904,10.27014,15.55451,15.49214,15.61055,24.2716,6.64043,NA,NA,NA,763000,358000,405000,44455,90306,45851,40929,83434,42505,15.59269,NA,NA,NA,105.8677,183.60956,34.20132,33.94069,60.05845,10.96478,1.88734,3.03795,0.60972,12.84915,29.42942,50.69012,1014.80686,2473.62233,4003.43165,325.34239,809.11861,1283.48168
"Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.83227607,NA,NA,NA,NA,NA,NA,NA,NA,NA,40287647756.8741,3548.59013979338,7873.16624301,3370,7670,14,94.22059,95.4334,94.83978,17.79827,98.15092,97.64904,98.63172,92.85137,92.7218,92.97549,10.27664,18.49627,89.72425,88.75827,90.65176,76.55438,76.15256,11.49912,NA,NA,NA,NA,NA,72.8665008544922,86.9888000488281,79.4982986450195,11513000,5733000,5780000,688488,1407263,718775,675750,1379790,704040,NA,3255298,1593347,1661951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",0.9063,0.9372,0.8764,11.71,11.78,11.66,461,460,461,0.9943,0.9948,0.9938,0.618,0.627,0.61,NA,70.12013504,406.384407914433,405.057103355608,407.647903423194,402.977821260903,418.17613023497,388.510158205113,398.497662699098,398.798292197763,398.211485710676,20161865419.4327,6065.67270824158,14623.6740532923,5740,14580,9,NA,NA,NA,16.92651,NA,NA,NA,NA,NA,NA,1.60748,9.1229,NA,NA,NA,NA,NA,2.74793,NA,NA,NA,21.46371,NA,77.1587982177734,72.0765991210938,74.5967025756836,3301000,1684000,1617000,NA,NA,NA,NA,NA,NA,9.3736,NA,NA,NA,NA,1467.62579,325.54673,NA,571.60832,126.79337,NA,3.37963,0.74967,NA,43.51293,23.73047,NA,5580.11402,3043.2038,NA,2173.33304,1185.26169
"Botswana",0.7942,0.8366,0.7492,8.41,8.81,8.02,391,401,381,0.9624,0.966,0.9591,0.424,0.446,0.393,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,18616018903.4434,8258.64166574691,18615.7933362283,7750,18000,NA,102.38184,98.97317,100.66117,23.71279,103.23839,102.06448,104.38555,87.65678,88.10205,87.22083,7.39021,NA,NA,NA,NA,NA,NA,NA,24.85997,29.24466,20.48172,38.30394,NA,69.620002746582,75.1399993896484,72.4400024414063,2304000,1190000,1114000,176705,357186,180481,113595,229743,116148,18.25175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",0.8594,0.9077,0.8114,11.69,NA,NA,408,409,408,0.9852,0.987,0.9835,0.56,NA,NA,NA,67.47128452,383.56912410618,379.269456136934,387.871670408919,412.87331668525,425.71064817308,400.027391482409,403.620942039241,404.389102013817,402.852267834125,1868626087908.48,8920.76210462979,16096.4009621464,9140,15850,14,NA,NA,NA,20.22308,115.44784,113.40708,117.3906,96.29925,94.68207,94.77706,17.77237,16.72391,100.82772,102.41526,99.30478,81.72855,80.33465,13.74407,51.3436,59.44738,43.52913,73.33067,6.24106,77.4311981201172,86.8369979858398,81.3693008422852,211050000,107316000,103733000,6804174,13951592,7147418,11226123,22928395,11702272,19.2394,42178564,20609790,21568774,51692.25321,83487.95482,43295.03756,28811.13078,46532.744,24130.86898,1.59865,2.58198,1.33896,20.05496,21.52655,33.04323,3171.46615,3404.18185,5225.41406,1767.64448,1897.35062,2912.43036
"British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,94.14634,96.77419,95.49763,11.61672,128.82535,125.92593,131.50074,91.05875,94.04601,94.17098,29.81404,8.70656,101.57658,107.05775,96.27989,68.10811,64.48184,17.56098,16.25409,20.9434,11.65587,0,2.35899,NA,NA,NA,NA,NA,NA,1122,2342,1220,1064,2178,1114,5.4375,4677,2263,2414,NA,NA,NA,NA,NA,NA,0.70432,0.82733,0.82733,6.24826,10.85147,40.0368,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.60004747,430.112962267376,433.947562158454,426.352127600862,408.069944019334,423.082610367259,393.346072522476,430.984376616659,434.554177654359,427.483246935207,13567351175.0315,31628.3287914349,80920.0486841005,29660,82180,9,108.37766,107.60325,107.97872,9.89521,103.15162,103.59343,102.73785,93.14673,NA,NA,41.18869,8.26843,93.48278,94.59945,92.43452,82.64549,81.32889,15.5244,31.39258,38.71807,24.78856,12.78793,4.42541,83.4897994995117,84.8564987182617,84.1206970214844,433000,208000,225000,18954,39197,20243,22495,46342,23847,12.41771,57792,28006,29786,287.40866,895.73176,278.15904,111.71384,348.16499,108.11858,0.86396,2.69261,0.83616,8.87354,23.64457,31.92784,7114.60405,18957.68705,25599.02856,2765.39941,7368.72722,9950.17262
"Bulgaria",0.8665,0.9185,0.8175,12.92,12.86,12.98,498,506,490,0.9925,0.9933,0.9918,0.676,0.707,0.648,NA,64.78201069,436.04057099732,436.904265904042,435.277237961018,419.844005964249,441.256783354017,400.919406255051,424.073582875218,432.168172618318,416.919589354904,65132951116.4756,9272.62930360848,21960.3699424605,8860,22300,11,89.12433,90.47046,89.81647,15.20744,89.33377,89.05228,89.60018,86.4454,86.31274,86.57095,1.29753,12.63651,98.18347,96.82399,99.4624,89.05757,90.18541,2.86849,71.03066,78.82418,63.71405,13.59463,4.07685,72.5799026489258,76.8868026733398,74.2959976196289,6970000,3584000,3385000,145411,298865,153454,252314,520558,268244,11.24677,774346,376163,398183,966.72665,1909.84905,781.18538,446.1041,881.31583,360.48453,0.80299,1.58638,0.64888,22.4421,21.816,16.14062,3718.8867,3615.13586,2674.66723,1716.11138,1668.23469,1234.24757
"Burkina Faso",0.7526,0.7673,0.7353,6.5,6.44,6.57,404,400,407,0.9188,0.9231,0.9147,0.369,0.36,0.354,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,14124775068.569,715.12290404614,1984.8843059546,670,1970,10,68.46311,62.60221,65.47893,39.72173,96.09037,95.27731,96.87565,78.64517,77.69237,79.56541,20.29641,23.11995,40.70973,40.73,40.69022,31.00148,30.33627,39.8791,6.50187,4.76497,8.18674,22.15332,6.03609,48.0900993347168,63.4192008972168,58.2163009643555,20321000,10174000,10148000,1680533,3420701,1740168,1593307,3248868,1655561,17.32014,5227838,2566461,2661377,744.36779,373.97078,590.40975,251.19109,123.123,194.38155,2.41082,1.13098,1.78555,15.96793,18.51785,351.3087,272.2308,328.38045,6229.82344,91.86581,108.11323,2051.05482
"Burundi",0.7142,0.7427,0.6852,7.51,7.31,7.72,423,432,415,0.9388,0.9437,0.9343,0.38,0.387,0.374,NA,2.660748535,NA,NA,NA,NA,NA,NA,NA,NA,NA,3036931818.18182,271.752044376648,744.182072008071,280,750,NA,67.89185,58.17401,63.02139,42.52383,121.42156,122.17842,120.67049,92.8047,94.09198,91.52725,2.04138,26.59842,48.46502,51.08968,45.84184,27.52277,24.03288,7.19755,6.05016,3.7548,8.36978,59.69477,5.01084,71.8392028808594,78.1378021240234,76.0796966552734,11531000,5812000,5719000,925910,1859892,933982,827094,1654835,827741,19.79602,NA,NA,NA,204.99233,121.00627,109.34885,66.77465,39.41685,35.61954,2.72369,1.60778,1.45289,12.81725,30.84643,308.79845,101.11452,243.34556,2436.09178,32.93727,79.26792,793.53792
"Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.17137201,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976814276.50792,3635.40684982339,7454.06391681042,3420,7280,10,89.3386,85.26542,87.29021,21.07361,104.02797,100.4555,107.5302,93.42191,92.55145,94.27525,1.36448,15.42052,88.15511,92.49768,83.85197,70.42826,66.42105,7.44448,23.61651,28.34652,19.04477,55.74234,5.17322,68.4800033569336,73.4899978637695,70.6100006103516,550000,274000,276000,30668,62045,31377,30014,60249,30235,7.98015,102395,50836,51559,74.43346,78.01685,33.51178,34.90596,36.58641,15.71553,1.97071,2.06559,0.88726,16.65962,19.66117,38.31764,1170.66877,1381.58732,2692.57443,548.99127,647.90263,1262.69692
"Cambodia",0.8332,0.8655,0.7978,9.55,9.7,9.4,452,NA,NA,0.9708,0.9743,0.9675,0.493,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,24542474061.2426,1510.3248705764,4360.85440445566,1390,4070,NA,90.2572,85.82246,87.99948,41.7035,107.41485,106.07808,108.68614,90.26554,90.19264,90.33487,5.20641,NA,NA,NA,NA,NA,NA,NA,13.68776,12.93279,14.4196,64.41291,2.16286,76.8584976196289,81.5721969604492,79.659797668457,16487000,8439000,8047000,990121,2031602,1041481,885372,1784532,899160,13.87721,NA,NA,NA,466.43002,424.04968,57.76442,154.52853,140.4879,19.0477,0.92518,0.84111,0.12508,5.3237,NA,5.25497,175.71491,NA,139.68042,58.21445,NA,46.36332
"Cameroon",0.6709,0.6826,0.6591,9.07,8.65,9.47,379,383,376,0.916,0.9217,0.9105,0.394,0.393,0.395,NA,23.20297197,NA,NA,NA,NA,NA,NA,NA,NA,NA,38675205293.0462,1533.74213975885,3785.07997826904,1440,3700,6,61.21668,67.67905,64.47068,44.83412,103.40212,98.0121,108.7065,92.87395,88.71914,96.96492,22.52487,19.25706,60.05816,55.44308,64.62172,45.99349,48.92577,28.25983,12.76025,11.44435,14.06749,18.16378,3.14529,72.0829010009766,80.4166030883789,77.355598449707,25876000,12936000,12940000,2063190,4160744,2097554,1996427,4016393,2019966,52.28042,4063735,2015599,2048136,652.93036,920.15161,196.71683,303.3559,412.54214,91.39598,0.93778,1.41745,0.28254,5.44964,17.7737,19.36118,164.65602,537.01628,610.59,73.82213,240.76667,283.68428
"Canada",0.9408,0.9531,0.9287,13.67,13.66,13.68,537,539,535,0.9949,0.9953,0.9945,0.799,0.808,0.79,NA,91,512.016942823931,509.54625248018,514.451017261465,520.085520926521,534.669187022361,505.726865157686,517.99766075567,519.559362359787,516.460472925651,1713341704877.01,46232.9896226967,48130.2559725043,44940,47590,10,NA,NA,NA,NA,100.94368,100.81914,101.06244,99.8825,NA,NA,6.22496,NA,113.76286,114.52064,113.04668,99.80968,99.62981,8.06006,68.92251,79.29239,59.06871,NA,5.27444,72.0987014770508,77.4086990356445,74.6698989868164,37375000,18829000,18545000,1164955,2384142,1219187,1133839,2325778,1191939,9.17398,3884643,1895302,1989341,29714.81073,18949.00427,25747.56651,33093.41479,22471.44587,25127.78595,1.83701,1.39268,1.61812,17.56737,18.32883,31.44008,8018.72443,7333.80484,14012.17434,8930.46152,8697.09015,13674.88136
"Caribbean small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.90475,90.78462,90.84398,18.92805,98.68449,97.29676,100.0255,87.89515,87.76584,88.0201,29.72503,15.1103,86.47735,89.03225,84.0072,74.27317,71.72989,15.26397,23.06284,29.46304,16.86032,NA,NA,NA,NA,NA,NA,NA,NA,353309,718928,365619,310828,632321,321493,NA,810965,398850,412115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.06769325,NA,NA,NA,NA,NA,NA,NA,NA,NA,5141833913.35653,81124.5134794821,72607.570767153,47140,43550,12,NA,NA,NA,15.74725,NA,NA,NA,NA,NA,NA,43.75436,10.9653,NA,NA,NA,NA,NA,34.3786,NA,NA,NA,NA,NA,83.7699966430664,88.7099990844727,85.9499969482422,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.339254945,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219894701.95124,475.721250544318,859.935619639664,490,920,10,32.8342,48.87702,40.87417,83.41195,102.0189,89.3694,114.56074,66.29549,58.95938,73.58041,16.73034,31.63737,17.13538,13.77755,20.48121,12.71989,15.72045,23.53385,2.9803,1.60102,4.36418,23.80164,1.10792,NA,NA,NA,4745000,2393000,2352000,406764,817678,410914,419318,840173,420855,34.60677,1302038,648547,653491,25.12904,11.32044,13.5771,12.74208,5.74021,7.36196,0.59528,0.26817,0.30237,4.10032,NA,100.5374,39.45703,NA,1021.67968,20.00731,NA,553.98927
"Central Europe and the Baltics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.15481,99.21373,99.67159,12.66168,97.01267,96.89761,97.12183,91.3002,91.3643,91.23939,4.77884,10.02635,101.88371,101.29758,102.44059,89.73885,89.42803,8.57142,61.51065,72.23063,51.35043,NA,NA,NA,NA,NA,NA,NA,NA,2704704,5555426,2850722,3491218,7165804,3674586,NA,10563688,5143337,5420351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad",0.6423,0.6646,0.6199,4.95,4.3,5.6,333,323,338,0.8768,0.8839,0.8701,0.293,0.289,0.298,NA,6.49999812,NA,NA,NA,NA,NA,NA,NA,NA,NA,11273115239.4255,728.343235359289,1968.25826164116,670,1930,10,33.02814,49.58732,41.32026,56.88788,86.84687,75.46867,98.17932,73.15289,64.07191,82.19736,12.18996,27.13412,22.5566,14.15964,30.89157,18.8551,25.37613,15.49676,3.2513,1.45916,5.03183,20.08082,2.24185,NA,NA,NA,15947000,7986000,7961000,1380212,2767970,1387758,1304774,2614385,1309611,26.38549,4221666,2106252,2115414,261.8645,192.58477,247.04582,127.42534,91.22915,117.02785,1.03028,0.70448,0.9037,6.30003,17.73265,186.65421,125.24859,366.67517,3458.587,60.94696,173.69736,1835.64562
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172000,87000,85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",0.9141,0.9346,0.8939,12.85,12.93,12.77,466,465,467,0.9926,0.9932,0.992,0.674,0.682,0.667,NA,82.32748693,417.406556233565,413.626757549314,421.091791810278,452.27255409198,462.302439817638,442.493596323522,443.582563387665,441.811225794139,445.309585608513,298231133532.749,15923.3587375381,25222.5277771449,14670,24190,12,94.13013,95.35554,94.75356,17.79358,101.43016,99.94247,102.86622,94.74067,94.76194,94.72014,62.81882,18.36688,101.83142,102.02842,101.64105,88.65187,87.45981,61.89539,88.46442,94.66281,82.46128,84.35606,5.40274,77.2024002075195,87.6426010131836,82.5606002807617,18952000,9610000,9342000,745187,1516954,771767,728770,1482882,754112,NA,2994180,1471132,1523048,6753.16848,6889.30074,6086.72433,4187.81566,4272.23482,3774.53628,1.50778,1.53818,1.35899,18.38536,18.68243,20.25927,4458.24027,4530.27685,4912.64215,2764.6709,2809.34267,3046.45735
"China",0.9212,0.9339,0.9092,13.25,13.32,13.19,456,456,456,0.9907,0.9913,0.9901,0.673,0.674,0.657,NA,54.3,591.393596878513,585.753110623896,596.553872232353,555.236243587507,561.888883049606,549.149986143629,590.452640080788,584.154267355097,596.214791795824,13608151864637.9,9770.84708783314,18236.6129816498,9460,18170,9,NA,NA,NA,16.42675,100.22275,100.83158,99.69995,NA,NA,NA,7.99203,13.25879,88.1734,88.01268,88.31697,NA,NA,12.82316,50.60444,55.88122,45.92842,14.49439,NA,NA,NA,NA,1397295000,680392000,716903000,47336690,102354190,55017500,45986120,99113911,53127791,19.48791,150999840,69835071,81164769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",0.8621,0.9128,0.8126,12.48,12.6,12.37,424,423,425,0.9853,0.987,0.9836,0.593,0.609,0.579,NA,62.25988032,390.932273740346,381.36527504906,400.887169388085,412.295085675563,417.356222078505,407.028743913005,413.322992973877,407.285406377695,419.605375408393,331047040087.878,6667.7906995498,15012.9302675399,6180,14480,12,105.75733,107.13886,106.46328,23.3015,114.52666,112.75912,116.21716,92.91999,93.16194,92.68858,19.69512,25.91073,97.50623,100.09145,95.03002,77.47078,74.88658,20.44072,55.32749,59.72434,51.09034,49.74521,4.50259,73.7581024169922,81.9496994018555,77.4400024414063,50339000,25626000,24713000,1828191,3740308,1912117,2381929,4869102,2487173,14.8453,9439003,4616014,4822989,10967.84276,12761.02601,7817.60161,4863.5348,5658.69657,3466.60491,1.47278,1.71357,1.04976,16.98989,17.64699,21.64385,2548.38948,2646.95068,3246.45702,1130.04729,1173.75286,1439.59547
"Comoros",0.7775,0.8032,0.7523,8.45,8.27,8.63,392,387,400,0.931,0.9366,0.9257,0.409,0.41,0.409,NA,8.478170295,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177955048.65299,1415.26362231562,2913.38730578137,1380,2930,6,77.23447,76.22284,76.72008,28.05781,99.50663,99.42279,99.58758,80.75383,80.68777,80.81761,18.58983,8.30834,59.46886,61.41451,57.58629,50.35748,49.09022,55.01187,8.99478,8.04879,9.91274,NA,2.48708,75.6045989990234,85.0880966186523,81.1984024047852,851000,422000,429000,62641,127539,64898,62213,126508,64295,26.31174,124856,61329,63527,28.12845,14.2636,5.36263,13.42153,6.80589,2.55879,1.35825,0.68875,0.25895,9.75717,8.48165,24.82556,260.40859,226.36634,662.56808,147.51043,128.22694,375.31675
"Congo, Dem. Rep.",0.7482,0.7726,0.7238,9.19,8.86,9.51,318,316,320,0.9089,0.916,0.9021,0.369,0.37,0.367,NA,8.619904916,NA,NA,NA,NA,NA,NA,NA,NA,NA,47227535290.9218,561.777182390425,932.172006786861,490,900,6,70.33311,69.49427,69.91117,33.19793,107.97708,107.57629,108.37228,NA,NA,NA,12.58465,14.24161,46.16579,35.98096,56.263,NA,NA,18.46955,6.60334,4.73101,8.46606,33.97643,1.45495,48.746898651123,70.3891983032227,63.7084007263184,86791000,43471000,43319000,7283644,14684467,7400823,5790290,11647043,5856753,15.3402,14187970,7038889,7149081,696.69184,162.42797,316.10889,415.09361,96.77566,185.53732,1.27019,0.29613,0.51669,7.19307,5.28871,72.92908,55.28916,40.65139,560.56565,32.94165,24.22037,333.98873
"Congo, Rep.",0.7524,0.7702,0.7349,8.8,8.97,8.62,371,369,372,0.9525,0.9568,0.9484,0.42,0.411,0.392,NA,8.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,11263682694.0393,2147.76946104594,5662.06341112502,1640,5060,10,75.90188,67.35239,71.60604,44.442,106.64006,110.50568,102.82062,87.88284,91.64617,84.16448,31.07341,18.67603,52.59282,48.81208,56.34437,NA,NA,NA,12.66688,10.1462,15.17202,33.14241,3.63639,NA,NA,NA,5381000,2693000,2687000,425937,858816,432879,400816,806046,405230,12.20142,1304590,647683,656907,429.73818,739.35185,184.82699,231.55289,398.37991,99.36838,1.92834,3.31765,0.70545,11.68812,NA,88.05028,609.4773,NA,4990.33385,328.40049,NA,2682.94884
"Costa Rica",0.9172,0.9421,0.8929,12.48,12.63,12.33,430,426,433,0.991,0.9919,0.9902,0.619,0.621,0.597,NA,74.08680223,402.330558607212,393.602715975528,411.269947680742,426.498225007361,433.603075532386,419.221166307665,415.622462110576,410.980991708659,420.376432999714,60130106115.6294,12027.3658826316,17671.0953526733,11520,16700,13,99.14283,98.07056,98.59437,12.2047,113.29429,113.80664,112.80511,97.33255,96.29905,96.38346,8.91002,12.42779,132.81693,137.74952,128.10262,82.44799,80.66948,8.7497,55.20794,60.68018,49.95982,49.15182,7.02824,74.7610015869141,83.0610961914063,78.7008972167969,5048000,2525000,2523000,208957,427832,218875,174320,356750,182430,NA,929195,453918,475277,1777.84582,1778.12935,1434.45334,1211.74423,1211.93748,977.69478,2.01534,2.01566,1.62608,20.82721,21.14089,37.51487,3674.98153,3730.33086,6619.53551,2504.79408,2542.51907,4511.74331
"Cote d'Ivoire",0.6139,0.6356,0.5938,7.04,6.55,7.54,373,371,375,0.9112,0.9197,0.9032,0.353,0.323,0.325,NA,46.82372708,NA,NA,NA,NA,NA,NA,NA,NA,NA,43007047821.7541,1715.53133212649,4207.08693435064,1600,4020,10,64.68261,78.49423,71.5999,41.8223,99.79975,95.97512,103.59597,90.32837,86.60521,94.02388,14.48051,27.28114,51.02666,44.34893,57.71112,40.19814,45.34263,50.62445,9.34137,7.6355,11.06148,42.6471,4.36816,31.1870994567871,47.1771011352539,42.013599395752,25717000,12742000,12974000,1987331,3991298,2003967,2038413,4078046,2039633,11.67438,6274602,3129161,3145441,2175.00536,1615.11604,645.12368,888.4726,659.76222,263.52795,2.06588,1.53408,0.61276,13.24047,18.29087,150.17056,556.05573,768.15562,5889.25872,227.1444,313.78554,2338.43029
