# The World Bank's Databank
# Data from database: Education Statistics - All Indicators
# Source: https://databank.worldbank.org/home.aspx
# Last Updated: 04/21/2020
#
# A "wide" version of `edstats_2019.csv` (the most recent indicators).
"CountryName","HD.HCI.AMRT","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.EYRS","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.HLOS","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.MORT","HD.HCI.MORT.FE","HD.HCI.MORT.MA","HD.HCI.OVRL","HD.HCI.OVRL.FE","HD.HCI.OVRL.MA","IT.CMP.PCMP.P2","IT.NET.USER.P2","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","NY.GDP.MKTP.CD","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GNP.PCAP.CD","NY.GNP.PCAP.PP.CD","SE.COM.DURS","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SE.PRM.CMPT.ZS","SE.PRM.ENRL.TC.ZS","SE.PRM.ENRR","SE.PRM.ENRR.FE","SE.PRM.ENRR.MA","SE.PRM.NENR","SE.PRM.NENR.FE","SE.PRM.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.ENRL.TC.ZS","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.SEC.NENR","SE.SEC.NENR.MA","SE.SEC.PRIV.ZS","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","SE.TER.PRIV.ZS","SE.XPD.TOTL.GD.ZS","SL.TLF.ADVN.FE.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.ZS","SP.POP.TOTL","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.MA.IN","UIS.PTRHC.56","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","UIS.X.PPP.1.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.1.FSGOV","UIS.X.US.2T3.FSGOV","UIS.X.US.5T8.FSGOV","UIS.XGDP.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.XGDP.56.FSGOV","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.US.5T8.FSGOV.FFNTR"
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700558659.21788,25630.2664922069,39454.6298306781,23630,36960,13,101.55587,100.81855,101.18056,14.78869,117.10809,115.20468,118.93408,99.23471,NA,NA,73.42095,15.09369,111.15977,112.14575,110.20621,76.94634,73.36425,92.38391,15.59921,20.69792,10.66735,48.95046,6.1899,NA,NA,NA,106000,56000,50000,3824,7773,3949,3512,7131,3619,8.56835,17521,8616,8905,68.59706,82.85105,45.83335,45.09899,54.47024,30.13304,1.70382,2.05787,1.13842,16.51788,25.09327,98.06787,6313.69063,8907.85645,37648.52226,4217.60433,6201.47569,24751.93889
"Australia",0.9484,0.9614,0.9355,13.77,13.78,13.76,524,528,520,0.9965,0.9968,0.9962,0.803,0.805,0.779,NA,86.54504885,491.360025242637,488.296647171672,494.323797522796,502.63172442266,518.5720840111,487.209665901138,502.964562882438,502.168470229204,503.734770569324,1433904348500.12,57373.6866841281,51663.3650948449,53230,50050,10,NA,NA,NA,NA,100.33898,100.33393,100.34376,96.38096,96.74048,96.04001,29.81308,NA,150.31148,141.16537,159.00876,92.28431,91.89515,40.58939,113.14216,133.33777,93.83847,15.52789,5.27163,78.25,88.0299987792969,82.5800018310547,25303000,12702000,12601000,1105481,2270078,1164597,891648,1828813,937165,NA,3121384,1520051,1601333,19921.98186,18886.4947,16198.30747,21044.40239,19950.57505,17110.93318,1.73917,1.64877,1.41409,19.30184,14.98139,17.82954,9139.82768,7094.00406,8442.66465,9654.77295,7493.68597,8918.33119
"Austria",0.936,0.9581,0.9145,13.89,13.79,13.94,525,524,526,0.9964,0.9968,0.9961,0.793,0.798,0.785,NA,87.71046495,498.942313799593,492.200906276095,505.483565972367,484.392568511997,498.652688459726,470.555837789672,489.780439531409,488.628862893912,490.897825352675,455285818035.125,51461.9547804677,55454.689293289,49310,55300,13,100.0429,98.89478,99.45318,10.01653,103.11315,102.96837,103.2499,88.61718,89.691,88.03688,6.21303,9.32983,100.45521,98.3281,102.47356,87.00131,86.88993,10.39237,85.05714,92.4615,78.0511,18.48787,5.5007,76.8061981201172,76.6192016601563,76.7076034545898,8865000,4500000,4365000,160632,331763,171131,334708,689708,355000,7.18354,1098306,533337,564969,4120.9051,9837.5405,8065.15616,3598.19439,8589.71082,7042.1422,0.91312,2.17984,1.78711,23.48041,27.72044,36.23652,12128.92421,14319.13425,18718.15574,10590.44702,12502.8428,16343.87629
"Azerbaijan",0.8723,0.9158,0.8273,11.58,NA,NA,472,479,466,0.977,0.9795,0.9746,0.597,NA,NA,NA,79.79999549,NA,NA,NA,NA,NA,NA,NA,NA,NA,46939529411.7647,4721.17808673142,18044.1367837983,4050,17100,10,100.64121,99.85738,100.21995,15.42982,99.7221,100.01462,99.47112,92.42467,92.24746,92.57672,0.70141,7.60984,94.48008,94.53944,94.42806,88.53256,88.86419,12.89057,27.7085,29.69345,25.90973,8.38198,2.47382,NA,NA,NA,10032000,5024000,5008000,294123,636923,342800,467278,1000450,533172,9.92033,1429117,663408,765709,NA,NA,700.72654,NA,NA,165.81623,NA,NA,0.40576,NA,NA,19.39114,NA,NA,3398.35179,NA,NA,804.16804
"Bahamas, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,12424500000,32217.871590084,32087.7291547443,30520,30330,12,74.85179,78.07403,76.45863,19.44891,81.36117,81.15878,81.56106,74.22717,75.13181,73.3337,22.66811,12.48097,69.47309,71.61021,67.31877,62.4958,59.92424,28.35516,NA,NA,NA,NA,NA,NA,NA,NA,389000,2e+05,189000,17328,35056,17728,19385,38620,19235,NA,74960,37445,37515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",0.9331,0.9428,0.9275,13.28,13.41,13.16,452,470,434,0.9927,0.9929,0.9924,0.668,0.699,0.641,NA,98.64342901,NA,NA,NA,NA,NA,NA,NA,NA,NA,37746196808.5106,24050.7575053956,47303.0485062895,21890,44700,9,99.27618,96.51583,97.87412,11.92315,99.36305,98.75316,99.96532,96.71489,95.85031,97.56867,36.91143,10.23948,98.59907,101.69599,95.81735,90.19346,86.97008,25.5549,50.4819,67.84063,36.99245,32.06275,2.32721,NA,NA,NA,1641000,586000,1055000,58346,118149,59803,49212,105036,55824,21.85798,167646,81969,85677,566.42176,759.38584,351.94259,273.94407,367.26916,196.69339,0.88012,1.17995,0.60447,11.16362,17.50832,21.4294,5237.17806,8213.6613,9487.85758,2532.9074,3972.45295,5302.56614
"Bangladesh",0.8748,0.8962,0.8543,11.03,11.33,10.66,368,370,367,0.9676,0.97,0.9653,0.479,0.492,0.465,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,274024958965.892,1698.26280233547,4371.75498582046,1750,4570,5,71.76452,64.05395,67.83219,30.05459,116.46634,120.75175,112.35745,90.53203,NA,NA,23.90352,35.09524,72.6906,78.27073,67.35348,66.54968,61.06971,93.89963,20.56507,16.98329,24.01696,35.78867,1.98602,56.7209014892578,89.6835021972656,79.6378021240234,163046000,80572000,82474000,7244107,14799931,7555824,10582466,21652947,11070481,37.11937,14886790,7286878,7599912,3839.47292,5768.4851,2984.07075,1248.22154,2187.1023,1131.40069,0.97034,0.98778,0.51099,NA,9.88363,29.90388,NA,365.3757,1105.47957,NA,138.53101,419.13897
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.76077839,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.145e+09,17949.2815054371,18554.1292823844,15410,16280,11,89.92072,87.61593,88.74687,13.9917,99.35135,97.46608,101.18148,96.69287,95.73025,97.62735,13.5325,17.93859,103.7039,105.75289,101.76398,93.63078,90.61275,6.69358,65.42534,90.57161,40.33463,NA,4.65652,NA,NA,NA,287000,148000,139000,9768,19828,10060,9074,18617,9543,NA,39222,19202,20020,75.33276,100.01499,68.47457,69.11846,91.76461,60.1913,1.50777,2.00178,1.329,20.75168,28.03908,41.67439,3633.82169,4909.91589,6574.05815,3334.0628,4504.89026,6641.64121
"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.12988669,471.865144277411,468.608845369959,474.870446287595,473.788446933152,485.618047194897,462.870677263748,471.263680793452,469.739815993574,472.670085449929,59662495092.2654,6289.93855308212,19994.8040788005,5670,19240,9,104.64495,104.59228,104.61791,19.23259,100.50021,100.38261,100.61128,94.92861,94.80403,95.04628,0.10754,8.56276,102.43953,101.69074,103.14892,95.63948,95.12669,0.46092,87.42909,95.09214,80.17624,7.29567,4.79499,NA,NA,NA,9467000,5060000,4407000,213390,439718,226328,314278,645882,331604,13.86492,887726,431568,456158,NA,4347.05475,1419.62882,NA,1324.10181,432.41532,NA,2.41949,0.79014,NA,35.66614,17.92244,NA,6746.58601,3390.19887,NA,2054.99292,1032.64594
"Belgium",0.9291,0.947,0.9119,13.41,13.45,13.37,519,518,521,0.9962,0.9967,0.9958,0.757,0.766,0.749,NA,88.65506428,508.070306356471,502.046829789884,514.131599431072,492.864438603842,503.687234727249,481.973694950164,498.77312723922,496.370478984345,501.190859767434,542761092103.469,47518.6360388914,51407.9983373414,45910,51740,12,NA,NA,NA,11.27695,103.90557,103.9583,103.85522,98.76482,98.87476,98.65984,54.43437,8.98821,158.54185,167.78577,149.71961,94.94691,94.81871,58.69543,79.66173,90.46261,69.28979,61.92991,6.54513,74.6849975585938,75.5196990966797,75.0718002319336,11483000,5799000,5683000,390127,802098,411971,372583,764858,392275,16.95452,1550783,756254,794529,8338.05254,13614.14476,7803.2999,7319.93538,14572.29878,6850.47867,1.5585,2.79739,1.45855,21.86877,NA,32.13881,10325.16153,10676.97002,15174.07464,9064.40861,11428.40772,13321.24562
