# Averaged air quality measurements for Victoria, Australia in 2018
# See air_quality_2018.csv.gz.
sp_name,param_id,value
Alphington,API,0.5425839819219569
Alphington,BPM2.5,7.848757803959358
Alphington,CO,0.2108838600305576
Alphington,HPM10,17.835714285714285
Alphington,NO2,9.558119761933682
Alphington,O3,16.065288356909683
Alphington,PM10,18.23166604324046
Alphington,PPM2.5,7.568376068376068
Alphington,SO2,0.3970926711084191
Altona North,NO2,9.467911625460284
Altona North,SO2,1.4974344751074746
Brooklyn,API,0.5395372153656355
Brooklyn,PM10,23.720569284392525
Churchill,BPM2.5,6.391229710869672
Dandenong,API,0.5135394143578282
Dandenong,NO2,9.800704824401507
Dandenong,O3,16.73142509135201
Dandenong,PM10,18.24403853105744
Footscray,BPM2.5,7.640948498835033
Footscray,CO,0.13975355145981785
Footscray,NO2,10.274531024531024
Footscray,O3,18.05052182163188
Footscray,PM10,18.367146565151167
Footscray,PPM2.5,7.134513274336284
Geelong South,API,0.48702490302695844
Geelong South,BPM2.5,6.502761853270193
Geelong South,CO,0.14247347258666318
Geelong South,NO2,5.6817218543046355
Geelong South,O3,18.86305258888739
Geelong South,PM10,19.510573378834543
Geelong South,SO2,0.3983980283425755
Melbourne CBD,BPM2.5,8.072998094067728
Melton,O3,20.292309546769527
Moe,BPM2.5,6.427079143774163
Mooroolbark,API,0.544526163313359
Mooroolbark,O3,17.350491683865485
Mooroolbark,PM10,15.690797698177095
Morwell East,API,0.5323303403391981
Morwell East,BPM2.5,6.7845962118978065
Morwell East,CO,0.14083566332041783
Morwell East,SO2,0.689237137788291
Morwell South,API,0.5388609445646441
Morwell South,BPM2.5,6.51284909683651
Morwell South,CO,0.15197864607066583
Morwell South,NO2,5.124430327302859
Morwell South,O3,17.11753433407857
Morwell South,SO2,0.5050351772658298
Point Cook,API,0.4690423728400726
Point Cook,O3,19.788040188839123
Traralgon,API,0.5549711602984859
Traralgon,BPM2.5,8.024734525682206
Traralgon,CO,0.15921213834634207
Traralgon,NO2,5.77633337383064
Traralgon,O3,17.191405342624854
Traralgon,PM10,14.448152938454589
Traralgon,SO2,0.7019005467326217
