# Distribution of UK household disposable income, in GBP,
# financial year ending 2020
# Source: Office for National Statistics – Household Finances Survey
# https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/householddisposableincomeandinequality/financialyear2020
income,freq
0,156.649969383953
1000,101.825940447226
2000,153.481453564929
3000,119.431524386114
4000,155.372368412368
5000,221.47090724492
6000,264.141485815254
7000,356.98750838824
8000,266.141880579035
9000,595.458462765016
10000,705.585160404453
11000,927.308663056689
12000,894.698745060473
13000,1141.3965431598
14000,979.731919922927
15000,1394.39862152155
16000,1736.38462901039
17000,1669.98753794509
18000,1781.24416966793
19000,1598.74648836881
20000,1702.29370036916
21000,1597.21626104359
22000,1832.01398679356
23000,1907.9768232125
24000,1733.35999739868
25000,1751.31460320477
26000,1573.38343800617
27000,1789.26157408027
28000,1649.42346177625
29000,1384.15184858894
30000,1519.17403418645
31000,1499.61701629405
32000,1323.91805216021
33000,1224.82836746502
34000,1134.0914905688
35000,1213.58777534384
36000,1270.00732059017
37000,1124.39774331415
38000,1317.12280650235
39000,1069.85803188844
40000,1134.36241214749
41000,922.608714394374
42000,817.990633857568
43000,848.418900670047
44000,914.717956104028
45000,708.926692596852
46000,759.776250229916
47000,721.640712768276
48000,782.140655610543
49000,688.141907086849
50000,664.92053975634
51000,703.871952883765
52000,548.923658192898
53000,620.711885811826
54000,486.119167677818
55000,494.478471678561
56000,441.330324598924
57000,344.746170235175
58000,395.715458135355
59000,399.791732435259
60000,391.163686203232
61000,397.984188196509
62000,261.423633867843
63000,302.381013785426
64000,211.474024227132
65000,275.893591732895
66000,210.703617044586
67000,240.260226197118
68000,189.873967416168
69000,272.422570759277
70000,191.823061366136
71000,131.939654498491
72000,186.276317367571
73000,223.280832544608
74000,177.385832305988
75000,134.416662670103
76000,140.056485817412
77000,94.8622870795317
78000,110.860132292516
79000,120.500810684876
80000,102.236060663335
81000,122.449013546184
82000,156.160902939488
83000,71.0592970026322
84000,68.4576062271524
85000,175.32562809036
86000,59.6040580148444
87000,123.757892714234
88000,77.5147028029545
89000,28.6081086002184
90000,72.6981571778719
91000,99.5441218122605
92000,73.8025517092289
93000,36.8278730563452
94000,36.6895633026485
95000,19.47964102971
96000,66.6925118013662
97000,31.7287808840674
98000,51.9736593074371
99000,29.577701834711
100000,26.5568829204402
101000,40.4899260018885
102000,70.6393633429929
103000,37.4587798634526
104000,45.5891490618871
105000,36.3541806097342
106000,21.6895428948734
107000,50.0964164974196
108000,51.1519526799254
109000,52.7512811053346
110000,45.4477787496186
111000,30.2148917209921
112000,54.6999950527089
113000,20.5671275785446
114000,15.7612945484993
115000,56.0976773499755
116000,4.24885076965788
117000,24.2525343260373
118000,24.6311200109754
119000,43.45331039779
120000,35.7931560962004
121000,9.10174865566604
122000,20.3394318773605
123000,18.7046919069754
125000,19.1907702292366
126000,22.3582782160857
127000,36.7000533712347
128000,5.22610099485633
129000,2.72177736128992
130000,16.0724878943857
132000,13.1108111660368
133000,1.6141300596287
135000,17.7062525442005
136000,3.31738623287599
137000,25.1380186892404
138000,15.8333825317969
139000,19.5436323178544
140000,2.8609376948286
141000,11.6628139057947
145000,7.78510626946196
146000,7.71040037589659
148000,22.9716007956774
149000,25.9354114342706
150000,1.86528196505741
151000,2.88787229793987
152000,17.9678297271534
153000,17.6320725166473
154000,7.08480699442086
157000,8.19483958295763
158000,7.64257134387223
160000,1.44431690357288
165000,1.57378686179759
167000,7.30774964082559
170000,15.5815233911237
173000,4.94985860105682
176000,30.8594798127371
179000,6.59580460060355
181000,15.082459482645
185000,12.9306801165099
186000,14.3936461714632
194000,3.19135132549528
202000,16.7816060618307
227000,3.86656797320819
229000,6.63864535124779
231000,1.81580745979357
280000,10.1087241112068
288000,25.5017961556476
298000,19.446424579942
322000,27.3573263589311
325000,10.7305631992214
333000,14.3371166735963
335000,10.4230847328306
336000,34.1510362930801
337000,3.29630555441113
343000,4.00000695008159
358000,24.4396275991541
367000,5.21767586839147
372000,4.48019683273684
389000,10.4404836875806
406000,28.8143616910599
409000,18.3370889515686
417000,22.0205884480755
427000,4.12589214185132
428000,19.8030898450173
451000,15.0019397589029
511000,5.63450443645978
514000,12.6153577143677
526000,9.36305822681924
539000,4.67524712907533
561000,16.6513723979422
664000,3.34504371119402
674000,22.5055267476368
