# BTC-USD Exchange Rates for 2021
# Based on https://api.bitcoincharts.com/v1/csv/
# dates are 2021-01-01..2021-12-31, in this order
# columns are open, high, low, close, volume, in this order
56191.586,57520.055,54368.594,55724.266,65344865159
55681.793,57062.148,53448.047,56473.031,67849323955
56471.129,56757.973,53695.469,53906.090,54926612466
53857.105,55410.230,50583.813,51762.273,74798630778
51739.809,52120.793,47714.664,51093.652,86668667320
51143.227,51167.563,48805.285,50050.867,49014494781
50052.832,50506.020,47159.484,49004.254,46117114240
49077.793,54288.004,48852.797,54021.754,58284039825
54030.305,55416.965,53319.188,55033.117,49448222757
55036.637,56227.207,53887.918,54824.703,48000572955
54858.090,55115.844,52418.027,53555.109,46088929780
53568.664,57900.719,53129.602,57750.176,52395931985
57714.664,58448.340,57052.273,57828.051,42836427360
57825.863,57902.594,56141.906,56631.078,38177405335
56620.273,58973.309,56590.871,57200.293,51713139031
57214.180,57214.180,53191.426,53333.539,68564706967
53252.164,57911.363,52969.055,57424.008,69241316747
57441.309,58363.316,55382.508,56396.516,69523285106
56413.953,58606.633,55321.848,57356.402,68434023376
57352.766,59464.613,56975.211,58803.777,65382980634
58877.391,59210.883,56482.004,58232.316,65906690347
58250.871,59519.355,54071.457,55859.797,71776546298
55847.242,56872.543,54608.652,56704.574,61308396325
56714.531,57939.363,49150.535,49150.535,75215403907
49735.434,51330.844,46980.020,49716.191,96721152926
49682.980,51438.117,48868.578,49880.535,55737497453
49855.496,50639.664,46664.141,46760.188,59161047474
46716.637,49720.043,43963.352,46456.059,64047871555
46415.898,46623.559,42207.289,43537.512,74903638450
43488.059,45812.457,42367.832,42909.402,56187365084
42944.977,43546.117,30681.496,37002.441,126358098747
36753.668,42462.984,35050.617,40782.738,88281943359
40596.949,42172.172,33616.453,37304.691,82051616861
37371.031,38831.055,35383.684,37536.633,57377273240
37531.449,38289.219,31227.340,34770.582,78469274361
34700.363,39835.141,34551.082,38705.980,67359584098
38795.781,39776.352,36581.430,38402.223,56211915803
38392.625,40782.078,37905.836,39294.199,51346735160
39316.891,40379.617,37247.902,38436.969,43210968721
38507.082,38856.969,34779.039,35697.605,55200191952
35684.156,37234.500,33693.930,34616.066,45231013335
34607.406,36400.668,33520.738,35678.129,31646080921
35658.594,37468.250,34241.945,37332.855,39009847639
37293.793,37896.734,35787.086,36684.926,34639423297
36699.922,38231.340,35966.309,37575.180,33070867190
37599.410,39478.953,37243.973,39208.766,35460750427
39242.484,39242.484,35717.723,36894.406,41831090187
36880.156,37917.715,34900.414,35551.957,35959473399
35538.609,36436.422,35304.578,35862.379,28913440585
35835.266,36790.570,33480.641,33560.707,33683936663
33589.520,34017.387,31114.443,33472.633,49902050442
33416.977,37537.371,32475.865,37345.121,53972919008
37389.516,38334.324,35847.594,36702.598,43576032854
36697.031,37608.695,36044.449,37334.398,38699736985
37340.145,37408.926,34728.191,35552.516,37924228550
35555.789,39322.781,34864.109,39097.859,40669112838
